component	line	slot	tag	kind	anatomy	part	carried	missingTokens	unresolvedIdents
dialog	18	dialog-footer	div	call:cn	DialogFooter	-	NO	flex flex-col-reverse gap-2 sm:flex-row sm:justify-end	-
dialog	19	dialog-title	DialogPrimitive.Title	call:cn	DialogTitle	-	NO	text-lg font-semibold	-
dialog	20	dialog-description	DialogPrimitive.Description	call:cn	DialogDescription	-	NO	text-sm text-muted-foreground	-
dropdown-menu	152	dropdown-menu	DropdownMenuPrimitive.Content	ident:contentClassName	DropdownMenu	(root)	yes	-	-
dropdown-menu	156	dropdown-menu	ContextMenuPrimitive.Content	ident:contentClassName	DropdownMenu	(root)	yes	-	-
dropdown-menu	161	dropdown-menu-item	Item	call:cn	DropdownMenuItem	DropdownMenuItem	yes	-	-
dropdown-menu	162	dropdown-menu-label	Label	call:cn	DropdownMenuLabel	DropdownMenuLabel	yes	-	-
dropdown-menu	163	dropdown-menu-separator	Separator	call:cn	DropdownMenuSeparator	DropdownMenuSeparator	yes	-	-
dropdown-menu	173	dropdown-menu-checkbox-item	CheckboxItem	call:cn	DropdownMenuCheckboxItem	DropdownMenuCheckboxItem	yes	-	-
dropdown-menu	174	-	ItemIndicator	literal	-	-	NO	absolute left-2 size-4 justify-center	-
dropdown-menu	175	-	svg	literal	-	-	NO	size-4	-
dropdown-menu	191	dropdown-menu-radio-item	RadioItem	call:cn	DropdownMenuRadioItem	DropdownMenuRadioItem	yes	-	-
dropdown-menu	192	-	ItemIndicator	literal	-	-	NO	absolute left-2 size-4 justify-center	-
dropdown-menu	193	-	svg	literal	-	-	NO	size-2	-
dropdown-menu	207	dropdown-menu-sub-trigger	SubTrigger	call:cn	DropdownMenuSubTrigger	DropdownMenuSubTrigger	yes	-	-
dropdown-menu	209	-	svg	literal	-	-	NO	size-4 shrink-0	-
dropdown-menu	219	dropdown-menu-sub-content	SubContent	call:cn	DropdownMenuSubContent	DropdownMenuSubContent	yes	-	-
empty	13	empty	div	call:cn	Empty	(root)	yes	-	-
empty	53	empty-header	div	call:cn	EmptyHeader	EmptyHeader	yes	-	-
empty	54	empty-media	div	call:cn	EmptyMedia	EmptyMedia	yes	-	-
empty	55	empty-title	h3	call:cn	EmptyTitle	EmptyTitle	yes	-	-
empty	56	empty-description	p	call:cn	EmptyDescription	EmptyDescription	yes	-	-
empty	57	empty-content	div	call:cn	EmptyContent	EmptyContent	yes	-	-
field	19	field	div	call:cn	Field	(root)	yes	-	-
field	104	field-label	Label	call:cn	FieldLabel	FieldLabel	yes	-	-
field	105	field-content	div	call:cn	FieldContent	FieldContent	yes	-	-
field	106	field-description	p	call:cn	FieldDescription	FieldDescription	yes	-	-
field	107	field-error	p	call:cn	FieldError	FieldError	yes	-	-
field	108	field-group	div	call:cn	FieldGroup	FieldGroup	yes	-	-
field	109	field-separator	div	call:cn	FieldSeparator	FieldSeparator	yes	-	-
field	109	field-separator-content	span	ident:SEPARATOR_CONTENT	FieldSeparatorContent	FieldSeparatorContent	yes	-	-
field	110	field-set	fieldset	call:cn	FieldSet	FieldSet	yes	-	-
field	111	field-legend	legend	call:cn	FieldLegend	FieldLegend	yes	-	-
input	7	input	input	call:cn	Input	(root)	yes	-	-
input-group	125	input-group	div	call:cn	InputGroup	(root)	yes	-	-
input-group	130	input-group-addon	div	call:cn	InputGroupAddon	InputGroupAddon	yes	-	-
input-group	135	input-group-input	Input	call:cn	InputGroupInput	InputGroupInput	yes	-	-
input-group	140	input-group-textarea	Textarea	call:cn	InputGroupTextarea	InputGroupTextarea	yes	-	-
input-group	145	input-group-text	span	call:cn	InputGroupText	InputGroupText	yes	-	-
input-group	150	input-group-button	Button	call:cn	InputGroupButton	InputGroupButton	yes	-	-
input-otp	59	input-otp-control	OTPInput	call:cn	-	-	yes	-	-
input-otp	71	input-otp-group	div	call:cn	-	-	yes	-	-
input-otp	88	input-otp-slot	div	call:cn	-	-	yes	-	-
input-otp	90	-	div	ident:CARET	-	-	NO	pointer-events-none absolute inset-0	-
input-otp	90	-	div	literal	-	-	NO	h-4 w-px animate-pulse bg-foreground	-
input-otp	97	input-otp-separator	div	call:cn	-	-	yes	-	-
item	66	item	div	call:cn	Item	(root)	yes	-	-
item	67	item-media	div	call:cn	ItemMedia	ItemMedia	yes	-	-
item	68	item-content	div	call:cn	ItemContent	ItemContent	yes	-	-
item	69	item-title	div	call:cn	ItemTitle	ItemTitle	yes	-	-
item	70	item-description	p	call:cn	ItemDescription	ItemDescription	yes	-	-
item	71	item-actions	div	call:cn	ItemActions	ItemActions	yes	-	-
item	72	item-header	div	call:cn	ItemHeader	ItemHeader	yes	-	-
item	73	item-footer	div	call:cn	ItemFooter	ItemFooter	yes	-	-
item	74	item-group	div	call:cn	ItemGroup	ItemGroup	yes	-	-
item	75	item-separator	div	call:cn	ItemSeparator	ItemSeparator	yes	-	-
kbd	41	kbd	kbd	call:cn	Kbd	(root)	yes	-	-
kbd	46	kbd-group	kbd	call:cn	KbdGroup	KbdGroup	yes	-	-
label	24	label	LabelPrimitive.Root	call:cn	Label	(root)	yes	-	-
list-row	7	list-row	div	call:listRowVariants	ListRow	(root)	yes	-	-
list-row	8	list-row-leading	div	call:cn	ListRowLeading	-	NO	shrink-0	-
list-row	9	list-row-content	div	call:cn	ListRowContent	-	NO	flex-1	-
list-row	10	list-row-title	div	call:cn	ListRowTitle	-	NO	truncate text-sm font-medium	-
list-row	11	list-row-description	div	call:cn	ListRowDescription	-	NO	truncate text-sm text-muted-foreground	-
list-row	12	list-row-meta	div	call:cn	ListRowMeta	-	NO	ml-auto shrink-0 text-sm text-muted-foreground	-
list-row	13	list-row-trailing	div	call:cn	ListRowTrailing	-	NO	shrink-0	-
menubar	85	menubar	MenubarPrimitive.Root	call:cn	Menubar	(root)	yes	-	-
menubar	94	menubar-trigger	MenubarPrimitive.Trigger	call:cn	MenubarTrigger	MenubarTrigger	yes	-	-
menubar	98	menubar-content	MenubarPrimitive.Content	call:cn	MenubarContent	MenubarContent	yes	-	-
menubar	106	menubar-label	MenubarPrimitive.Label	call:cn	MenubarLabel	MenubarLabel	yes	-	-
menubar	110	menubar-item	MenubarPrimitive.Item	call:cn	MenubarItem	MenubarItem	yes	-	-
menubar	114	menubar-checkbox-item	MenubarPrimitive.CheckboxItem	call:cn	MenubarCheckboxItem	MenubarCheckboxItem	yes	-	-
menubar	115	-	MenubarPrimitive.ItemIndicator	literal	-	-	NO	absolute left-2 size-4 justify-center	-
menubar	116	-	svg	literal	-	-	NO	size-4	-
menubar	127	menubar-radio-item	MenubarPrimitive.RadioItem	call:cn	MenubarRadioItem	MenubarRadioItem	yes	-	-
menubar	128	-	MenubarPrimitive.ItemIndicator	literal	-	-	NO	absolute left-2 size-4 justify-center	-
menubar	129	-	svg	literal	-	-	NO	size-2	-
menubar	136	menubar-separator	MenubarPrimitive.Separator	call:cn	MenubarSeparator	MenubarSeparator	yes	-	-
menubar	145	menubar-sub-trigger	MenubarPrimitive.SubTrigger	call:cn	MenubarSubTrigger	MenubarSubTrigger	yes	-	-
menubar	147	-	svg	literal	-	-	NO	size-4 shrink-0	-
menubar	152	menubar-sub-content	MenubarPrimitive.SubContent	call:cn	MenubarSubContent	MenubarSubContent	yes	-	-
native-select	50	native-select-root	span	literal	-	-	NO	relative inline-flex items-center	-
native-select	51	native-select	select	call:cn	NativeSelect	(root)	yes	-	-
native-select	59	native-select-icon	svg	call:cn	NativeSelectIcon	NativeSelectIcon	yes	-	-
navigation-menu	87	navigation-menu	NavigationMenuPrimitive.Root	call:cn	NavigationMenu	(root)	yes	-	-
navigation-menu	91	navigation-menu-list	NavigationMenuPrimitive.List	call:cn	NavigationMenuList	NavigationMenuList	yes	-	-
navigation-menu	95	navigation-menu-item	NavigationMenuPrimitive.Item	call:cn	NavigationMenuItem	NavigationMenuItem	yes	-	-
navigation-menu	99	navigation-menu-trigger	NavigationMenuPrimitive.Trigger	call:cn	NavigationMenuTrigger	NavigationMenuTrigger	yes	-	-
navigation-menu	101	-	svg	literal	-	-	NO	size-4 shrink-0 transition-transform	-
